sudoku_id;trial;heuristic;arc_revisions;solved
4;6;Minimal Constraining Neighbour;4544;No
4;7;Minimal Constraining Neighbour;4530;No
4;8;Minimal Constraining Neighbour;4536;No
4;9;Minimal Constraining Neighbour;4549;No
4;10;Minimal Constraining Neighbour;4550;No
5;1;Default;5163;Yes
5;2;Default;4930;Yes
5;3;Default;5008;Yes
5;4;Default;4884;Yes
5;5;Default;5186;Yes
5;6;Default;5007;Yes
5;7;Default;5237;Yes
5;8;Default;4750;Yes
5;9;Default;5008;Yes
5;10;Default;4912;Yes
5;1;Minimum Remaining Value ;6115;Yes
5;2;Minimum Remaining Value ;6115;Yes
5;3;Minimum Remaining Value ;6115;Yes
5;4;Minimum Remaining Value ;6115;Yes
5;5;Minimum Remaining Value ;6153;Yes
5;6;Minimum Remaining Value ;6119;Yes
5;7;Minimum Remaining Value ;6128;Yes
5;8;Minimum Remaining Value ;6057;Yes
5;9;Minimum Remaining Value ;6082;Yes
5;10;Minimum Remaining Value ;6183;Yes
5;1;Degree;6056;Yes
5;2;Degree;6057;Yes
5;3;Degree;6123;Yes
5;4;Degree;6066;Yes
5;5;Degree;5996;Yes
5;6;Degree;6123;Yes
5;7;Degree;6103;Yes
5;8;Degree;6095;Yes
5;9;Degree;6123;Yes
5;10;Degree;6182;Yes
5;1;Minimal Constraining Neighbour;6050;Yes
5;2;Minimal Constraining Neighbour;6012;Yes
5;3;Minimal Constraining Neighbour;6043;Yes
5;4;Minimal Constraining Neighbour;6050;Yes
5;5;Minimal Constraining Neighbour;5897;Yes
5;6;Minimal Constraining Neighbour;6025;Yes
5;7;Minimal Constraining Neighbour;6050;Yes
5;8;Minimal Constraining Neighbour;6033;Yes
5;9;Minimal Constraining Neighbour;6243;Yes
5;10;Minimal Constraining Neighbour;6050;Yes
